record_start,width_bytes,width_pixels,height,image_start,mask_start,record_end_exclusive
$78C2,1,8,8,$78C4,$78CC,$78D4
$78D4,1,8,8,$78D6,$78DE,$78E6
$78E6,1,8,8,$78E8,$78F0,$78F8
$78F8,2,16,11,$78FA,$7910,$7926
$7926,1,8,11,$7928,$7933,$793E
$793E,2,16,11,$7940,$7956,$796C
$796C,1,8,7,$796E,$7975,$797C
$797C,1,8,7,$797E,$7985,$798C
$798C,1,8,7,$798E,$7995,$799C
$799C,1,8,7,$799E,$79A5,$79AC
$79AC,1,8,7,$79AE,$79B5,$79BC
$79BC,1,8,7,$79BE,$79C5,$79CC
$79CC,1,8,9,$79CE,$79D7,$79E0
$79E0,1,8,9,$79E2,$79EB,$79F4
$79F4,1,8,9,$79F6,$79FF,$7A08
$7A08,1,8,9,$7A0A,$7A13,$7A1C
$7A1C,1,8,9,$7A1E,$7A27,$7A30
$7A30,1,8,9,$7A32,$7A3B,$7A44
$7A44,1,8,8,$7A46,$7A4E,$7A56
$7A56,1,8,8,$7A58,$7A60,$7A68
$7A68,1,8,8,$7A6A,$7A72,$7A7A
$7A7A,1,8,7,$7A7C,$7A83,$7A8A
$7A8A,1,8,7,$7A8C,$7A93,$7A9A
$7A9A,1,8,7,$7A9C,$7AA3,$7AAA
$7AAA,1,8,7,$7AAC,$7AB3,$7ABA
$7ABA,1,8,9,$7ABC,$7AC5,$7ACE
$7ACE,1,8,9,$7AD0,$7AD9,$7AE2
$7AE2,1,8,9,$7AE4,$7AED,$7AF6
$7AF6,1,8,9,$7AF8,$7B01,$7B0A
$7B0A,1,8,9,$7B0C,$7B15,$7B1E
$7B1E,1,8,9,$7B20,$7B29,$7B32
$7B32,2,16,23,$7B34,$7B62,$7B90
$7B90,2,16,23,$7B92,$7BC0,$7BEE
$7BEE,2,16,23,$7BF0,$7C1E,$7C4C
$7C4C,1,8,23,$7C4E,$7C65,$7C7C
$7C7C,1,8,23,$7C7E,$7C95,$7CAC
$7CAC,1,8,23,$7CAE,$7CC5,$7CDC
$7CDC,2,16,23,$7CDE,$7D0C,$7D3A
$7D3A,2,16,23,$7D3C,$7D6A,$7D98
$7D98,2,16,23,$7D9A,$7DC8,$7DF6
$7DF6,1,8,7,$7DF8,$7DFF,$7E06
$7E06,1,8,7,$7E08,$7E0F,$7E16
$7E16,1,8,7,$7E18,$7E1F,$7E26
$7E26,1,8,5,$7E28,$7E2D,$7E32
$7E32,1,8,5,$7E34,$7E39,$7E3E
$7E3E,1,8,5,$7E40,$7E45,$7E4A
$7E4A,1,8,5,$7E4C,$7E51,$7E56
$7E56,1,8,5,$7E58,$7E5D,$7E62
$7E62,1,8,6,$7E64,$7E6A,$7E70
$7E70,1,8,6,$7E72,$7E78,$7E7E
$7E7E,1,8,6,$7E80,$7E86,$7E8C
$7E8C,1,8,6,$7E8E,$7E94,$7E9A
$7E9A,1,8,6,$7E9C,$7EA2,$7EA8
$7EA8,1,8,6,$7EAA,$7EB0,$7EB6
$7EB6,2,16,23,$7EB8,$7EE6,$7F14
$7F14,1,8,23,$7F16,$7F2D,$7F44
$7F44,2,16,23,$7F46,$7F74,$7FA2
$7FA2,2,16,23,$7FA4,$7FD2,$8000
$8000,1,8,23,$8002,$8019,$8030
$8030,2,16,23,$8032,$8060,$808E
$808E,3,24,21,$8090,$80CF,$810E
$810E,2,16,13,$8110,$812A,$8144
$8144,2,16,9,$8146,$8158,$816A
$816A,1,8,7,$816C,$8173,$817A
$817A,1,8,5,$817C,$8181,$8186
$8186,1,8,3,$8188,$818B,$818E
$818E,2,16,15,$8190,$81AE,$81CC
$81CC,2,16,9,$81CE,$81E0,$81F2
$81F2,1,8,7,$81F4,$81FB,$8202
$8202,2,16,15,$8204,$8222,$8240
$8240,2,16,9,$8242,$8254,$8266
$8266,1,8,6,$8268,$826E,$8274
$8274,1,8,1,$8276,$8277,$8278
