appearance_hex,mode,near_body,near_head_index,near_head_value,near_vector,middle_body,middle_head_index,middle_head_value,middle_vector,far_body,far_head_index,far_head_value,far_vector
$1D,encoded,3,0,4,1 1 4 1 1,3,0,2,1 2,3,1,1,1
$1E,encoded,4,0,4,1 4 4 1 1,4,0,2,1 2,4,1,1,1
$1F,encoded,5,0,4,1 2 4 2 2,5,0,2,1 2,5,1,1,1
$20,encoded,6,0,4,2 2 4 2 2,6,0,2,2 2,6,2,2,2
$21,encoded,7,0,4,2 4 4 1 1,7,0,2,2 2,7,2,2,2
$22,encoded,0,1,5,4 1 5 1 1,0,1,4,1 4,0,1,1,1
$23,encoded,1,1,5,4 4 5 1 1,1,1,4,1 4,1,1,1,1
$24,encoded,2,1,5,4 2 5 2 2,2,1,4,1 4,2,1,1,1
$25,encoded,3,1,5,1 1 5 1 1,3,1,4,1 4,3,1,1,1
$26,encoded,4,1,5,1 4 5 1 1,4,1,4,1 4,4,1,1,1
$27,encoded,5,1,5,1 2 5 2 2,5,1,4,1 4,5,1,1,1
$28,encoded,6,1,5,2 2 5 2 2,6,1,4,2 4,6,2,2,2
$29,encoded,7,1,5,2 4 5 1 1,7,1,4,2 4,7,2,2,2
$2A,encoded,0,2,9,4 1 9 1 1,0,2,1,1 1,0,1,1,1
$2B,encoded,1,2,9,4 4 9 1 1,1,2,1,1 1,1,1,1,1
$2C,encoded,2,2,9,4 2 9 2 2,2,2,1,1 1,2,1,1,1
$2D,encoded,3,2,9,1 1 9 1 1,3,2,1,1 1,3,1,1,1
$2E,encoded,4,2,9,1 4 9 1 1,4,2,1,1 1,4,1,1,1
$2F,encoded,5,2,9,1 2 9 2 2,5,2,1,1 1,5,1,1,1
$30,encoded,6,2,9,2 2 9 2 2,6,2,1,2 1,6,2,2,2
$31,encoded,7,2,9,2 4 9 1 1,7,2,1,2 1,7,2,2,2
$32,encoded,0,3,14,4 1 14 1 1,0,3,1,1 1,0,1,1,1
$33,encoded,1,3,14,4 4 14 1 1,1,3,1,1 1,1,1,1,1
$34,encoded,2,3,14,4 2 14 2 2,2,3,1,1 1,2,1,1,1
$35,encoded,3,3,14,1 1 14 1 1,3,3,1,1 1,3,1,1,1
$36,encoded,4,3,14,1 4 14 1 1,4,3,1,1 1,4,1,1,1
$37,encoded,5,3,14,1 2 14 2 2,5,3,1,1 1,5,1,1,1
$38,encoded,6,3,14,2 2 14 2 2,6,3,1,2 1,6,2,2,2
$39,encoded,7,3,14,2 4 14 1 1,7,3,1,2 1,7,2,2,2
$3A,encoded,0,4,2,4 1 2 1 1,0,4,2,1 2,0,1,1,1
$3B,encoded,1,4,2,4 4 2 1 1,1,4,2,1 2,1,1,1,1
$3C,encoded,2,4,2,4 2 2 2 2,2,4,2,1 2,2,1,1,1
$3D,encoded,3,4,2,1 1 2 1 1,3,4,2,1 2,3,1,1,1
$3E,encoded,4,4,2,1 4 2 1 1,4,4,2,1 2,4,1,1,1
$3F,encoded,5,4,2,1 2 2 2 2,5,4,2,1 2,5,1,1,1
$40,encoded,6,4,2,2 2 2 2 2,6,4,2,2 2,6,2,2,2
$41,encoded,7,4,2,2 4 2 1 1,7,4,2,2 2,7,2,2,2
$42,encoded,0,5,6,4 1 6 1 1,0,5,2,1 2,0,1,1,1
$43,encoded,1,5,6,4 4 6 1 1,1,5,2,1 2,1,1,1,1
$44,encoded,2,5,6,4 2 6 2 2,2,5,2,1 2,2,1,1,1
$45,encoded,3,5,6,1 1 6 1 1,3,5,2,1 2,3,1,1,1
$46,encoded,4,5,6,1 4 6 1 1,4,5,2,1 2,4,1,1,1
$47,encoded,5,5,6,1 2 6 2 2,5,5,2,1 2,5,1,1,1
$48,encoded,6,5,6,2 2 6 2 2,6,5,2,2 2,6,2,2,2
$49,encoded,7,5,6,2 4 6 1 1,7,5,2,2 2,7,2,2,2
$4A,encoded,0,6,10,4 1 10 1 1,0,6,3,1 3,0,1,1,1
$4B,encoded,1,6,10,4 4 10 1 1,1,6,3,1 3,1,1,1,1
$4C,encoded,2,6,10,4 2 10 2 2,2,6,3,1 3,2,1,1,1
$4D,encoded,3,6,10,1 1 10 1 1,3,6,3,1 3,3,1,1,1
$4E,encoded,4,6,10,1 4 10 1 1,4,6,3,1 3,4,1,1,1
$4F,encoded,5,6,10,1 2 10 2 2,5,6,3,1 3,5,1,1,1
$50,encoded,6,6,10,2 2 10 2 2,6,6,3,2 3,6,2,2,2
$51,encoded,7,6,10,2 4 10 1 1,7,6,3,2 3,7,2,2,2
$52,encoded,0,7,13,4 1 13 1 1,0,7,3,1 3,0,1,1,1
$53,encoded,1,7,13,4 4 13 1 1,1,7,3,1 3,1,1,1,1
$54,encoded,2,7,13,4 2 13 2 2,2,7,3,1 3,2,1,1,1
$55,encoded,3,7,13,1 1 13 1 1,3,7,3,1 3,3,1,1,1
$56,encoded,4,7,13,1 4 13 1 1,4,7,3,1 3,4,1,1,1
$57,encoded,5,7,13,1 2 13 2 2,5,7,3,1 3,5,1,1,1
$58,encoded,6,7,13,2 2 13 2 2,6,7,3,2 3,6,2,2,2
$59,encoded,7,7,13,2 4 13 1 1,7,7,3,2 3,7,2,2,2
$5A,encoded,0,8,3,4 1 3 1 1,0,8,3,1 3,0,1,1,1
$5B,encoded,1,8,3,4 4 3 1 1,1,8,3,1 3,1,1,1,1
$5C,encoded,2,8,3,4 2 3 2 2,2,8,3,1 3,2,1,1,1
$5D,encoded,3,8,3,1 1 3 1 1,3,8,3,1 3,3,1,1,1
$5E,encoded,4,8,3,1 4 3 1 1,4,8,3,1 3,4,1,1,1
$5F,encoded,5,8,3,1 2 3 2 2,5,8,3,1 3,5,1,1,1
$60,encoded,6,8,3,2 2 3 2 2,6,8,3,2 3,6,2,2,2
$61,encoded,7,8,3,2 4 3 1 1,7,8,3,2 3,7,2,2,2
$62,encoded,0,9,7,4 1 7 1 1,0,9,1,1 1,0,1,1,1
$63,encoded,1,9,7,4 4 7 1 1,1,9,1,1 1,1,1,1,1
$64,encoded,2,9,7,4 2 7 2 2,2,9,1,1 1,2,1,1,1
$65,encoded,3,9,7,1 1 7 1 1,3,9,1,1 1,3,1,1,1
$66,encoded,4,9,7,1 4 7 1 1,4,9,1,1 1,4,1,1,1
$67,encoded,5,9,7,1 2 7 2 2,5,9,1,1 1,5,1,1,1
$68,encoded,6,9,7,2 2 7 2 2,6,9,1,2 1,6,2,2,2
$69,encoded,7,9,7,2 4 7 1 1,7,9,1,2 1,7,2,2,2
$6A,encoded,0,10,12,4 1 12 1 1,0,10,2,1 2,0,1,1,1
$6B,encoded,1,10,12,4 4 12 1 1,1,10,2,1 2,1,1,1,1
$6C,encoded,2,10,12,4 2 12 2 2,2,10,2,1 2,2,1,1,1
$6D,encoded,3,10,12,1 1 12 1 1,3,10,2,1 2,3,1,1,1
$6E,encoded,4,10,12,1 4 12 1 1,4,10,2,1 2,4,1,1,1
$6F,encoded,5,10,12,1 2 12 2 2,5,10,2,1 2,5,1,1,1
$70,encoded,6,10,12,2 2 12 2 2,6,10,2,2 2,6,2,2,2
$71,encoded,7,10,12,2 4 12 1 1,7,10,2,2 2,7,2,2,2
$72,encoded,0,11,15,4 1 15 1 1,0,11,2,1 2,0,1,1,1
$73,encoded,1,11,15,4 4 15 1 1,1,11,2,1 2,1,1,1,1
$74,encoded,2,11,15,4 2 15 2 2,2,11,2,1 2,2,1,1,1
$75,encoded,3,11,15,1 1 15 1 1,3,11,2,1 2,3,1,1,1
$76,encoded,4,11,15,1 4 15 1 1,4,11,2,1 2,4,1,1,1
$77,encoded,5,11,15,1 2 15 2 2,5,11,2,1 2,5,1,1,1
$78,encoded,6,11,15,2 2 15 2 2,6,11,2,2 2,6,2,2,2
$79,encoded,7,11,15,2 4 15 1 1,7,11,2,2 2,7,2,2,2
$7A,encoded,0,12,1,4 1 1 1 1,0,12,1,1 1,0,1,1,1
$7B,encoded,1,12,1,4 4 1 1 1,1,12,1,1 1,1,1,1,1
$7C,encoded,2,12,1,4 2 1 2 2,2,12,1,1 1,2,1,1,1
$7D,encoded,3,12,1,1 1 1 1 1,3,12,1,1 1,3,1,1,1
$7E,encoded,4,12,1,1 4 1 1 1,4,12,1,1 1,4,1,1,1
$7F,encoded,5,12,1,1 2 1 2 2,5,12,1,1 1,5,1,1,1
$80,encoded,6,12,1,2 2 1 2 2,6,12,1,2 1,6,2,2,2
$81,encoded,7,12,1,2 4 1 1 1,7,12,1,2 1,7,2,2,2
$82,encoded,0,13,8,4 1 8 1 1,0,13,3,1 3,0,1,1,1
$83,encoded,1,13,8,4 4 8 1 1,1,13,3,1 3,1,1,1,1
$84,encoded,2,13,8,4 2 8 2 2,2,13,3,1 3,2,1,1,1
$85,encoded,3,13,8,1 1 8 1 1,3,13,3,1 3,3,1,1,1
$86,encoded,4,13,8,1 4 8 1 1,4,13,3,1 3,4,1,1,1
$87,encoded,5,13,8,1 2 8 2 2,5,13,3,1 3,5,1,1,1
$88,encoded,6,13,8,2 2 8 2 2,6,13,3,2 3,6,2,2,2
$89,encoded,7,13,8,2 4 8 1 1,7,13,3,2 3,7,2,2,2
$8A,encoded,0,14,11,4 1 11 1 1,0,14,3,1 3,0,1,1,1
$8B,encoded,1,14,11,4 4 11 1 1,1,14,3,1 3,1,1,1,1
$8C,encoded,2,14,11,4 2 11 2 2,2,14,3,1 3,2,1,1,1
$8D,encoded,3,14,11,1 1 11 1 1,3,14,3,1 3,3,1,1,1
$8E,encoded,4,14,11,1 4 11 1 1,4,14,3,1 3,4,1,1,1
$8F,encoded,5,14,11,1 2 11 2 2,5,14,3,1 3,5,1,1,1
$90,encoded,6,14,11,2 2 11 2 2,6,14,3,2 3,6,2,2,2
$91,encoded,7,14,11,2 4 11 1 1,7,14,3,2 3,7,2,2,2
$92,encoded,0,15,16,4 1 16 1 1,0,15,2,1 2,0,1,1,1
$93,encoded,1,15,16,4 4 16 1 1,1,15,2,1 2,1,1,1,1
$94,encoded,2,15,16,4 2 16 2 2,2,15,2,1 2,2,1,1,1
$95,encoded,3,15,16,1 1 16 1 1,3,15,2,1 2,3,1,1,1
$96,encoded,4,15,16,1 4 16 1 1,4,15,2,1 2,4,1,1,1
$97,encoded,5,15,16,1 2 16 2 2,5,15,2,1 2,5,1,1,1
$98,encoded,6,15,16,2 2 16 2 2,6,15,2,2 2,6,2,2,2
$99,encoded,7,15,16,2 4 16 1 1,7,15,2,2 2,7,2,2,2
